Name,year,esrp,genre,rate,vote,country,company
The Stanley Parable: Ultra Deluxe,2022,20222022,AdventureComedyFantasy,8.9,166,United States,Crows Crows Crows
Persona 3,2006,20062006MM,ActionAdventureFantasy,8.9,787,Japan,Atlus
Gothic,2001,20012001,ActionAdventureFantasy,8.9,770,Germany,Piranha Bytes
Grand Theft Auto IV,2008,20082008MM,ActionCrimeDrama,8.9,34K,United Kingdom,Rockstar North
The Warriors,2005,20052005MM,ActionCrimeThriller,8.9,1.9K,Canada,Rockstar Toronto
Star Wars: Knights of the Old Republic II - The Sith Lords,2004,20042004TT,ActionAdventureDrama,8.9,5.1K,United States,Obsidian Entertainment
Quest for Glory I: So You Want to Be a Hero,1989,19891989,AdventureFantasy,8.9,116,United States,Sierra Entertainment
Warcraft III: The Frozen Throne,2003,20032003,ActionAdventureFantasy,8.9,3.4K,United States,
Metal Gear Solid: The Twin Snakes,2004,20042004MM,ActionAdventureDrama,8.9,1.6K,Japan,Silicon Knights
Eternal Darkness: Sanity's Requiem,2002,20022002MM,AdventureFantasyHorror,8.9,785,Canada,Nintendo
Metroid Prime,2002,20022002TT,ActionAdventureMystery,8.9,2K,United States,GameCube
System Shock 2,1999,19991999MM,ActionAdventureHorror,8.9,1.1K,United States,Irrational Games
Arcanum: Of Steamworks and Magick Obscura,2001,20012001MM,AdventureDramaFantasy,8.9,404,United States,
Warcraft III: Reign of Chaos,2002,20022002,ActionAdventureFantasy,8.9,3.5K,United States,Blizzard Entertainment
Tenchi souzou,1995,19951995,AdventureFantasy,8.9,215,United Kingdom,Enix
Xenogears,1998,19981998TT,ActionAdventureFantasy,8.9,648,Japan,Square Company
Poketto monsutâ aka,1996,19961996EE,ActionAdventureFamily,8.9,2.5K,Japan,Creatures
Broken Sword: The Shadow of the Templars,1996,19961996,AdventureMysteryRomance,8.9,1.1K,United Kingdom,Revolution Software
Mother 2: Gîgu no gyakushuu,1994,19941994TT,AdventureComedyFantasy,8.9,1K,Japan,Ape
Civilization II,1996,19961996,History,8.9,924,United States,AWE Games
Bio Hazard,1996,19961996MM,ActionHorrorMystery,8.9,5.4K,Japan,Capcom Company
Super Mario Bros.,1985,19851985,ActionAdventureFantasy,8.9,6.2K,Japan,Nintendo Entertainment Analysis and Development (EAD) (I)
Titanic: Adventure Out of Time,1996,19961996TT,ActionAdventureMystery,8.9,307,United States,Cyberflix Inc.
