Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
S.T.A.L.K.E.R.: Call of Pripyat,2009,Not Rated,Horror,8.5,498,Ukraine,GSC Game World,2.2
Gears of War 3,2011,Mature,War,8.5,4000,United States,Epic Games,2.2
Mystery Case Files: Dire Grove,2009,Not Rated,Mystery,8.5,33,United States,Thinklab,2.2
Inscryption,2021,Not Rated,Horror,8.5,100,Canada,Daniel Mullins Games,2.2
Drakensang - Am Fluss der Zeit,2010,Not Rated,Fantasy,8.5,110,Germany,Radon Labs,2.2
X3: Terran Conflict,2008,Not Rated,Sci-Fi,8.5,22,Germany,Egosoft,2.2
Ultima Underworld: The Stygian Abyss,1992,Not Rated,Fantasy,8.5,36,United States,Blue Sky Productions,2.19
Football Manager 2010,2009,Not Rated,Sport,8.5,144,United Kingdom,Sports Interactive,2.19
Hidden & Dangerous 2,2003,Not Rated,War,8.5,63,Czech Republic,Illusion Softworks,2.19
UnMetal,2021,Mature,Comedy,8.5,11,Spain,Unknown,2.19
Detention,2017,Mature,Mystery,8.5,30,Taiwan,Red Candle Games,2.18
Deadbolt,2016,Teen,Horror,8.5,8,United States,Hopoo Games,2.18
Big Chungus,2018,Mature,Action,8.5,13,United Kingdom,Unknown,2.18
Ratchet & Clank Future: A Crack in Time,2009,Everyone10+,Comedy,8.5,1000,United States,Insomniac Games,2.18
Mystic Messenger,2016,Not Rated,Unknown,8.5,17,Unknown,Unknown,2.17
The Beatles: Rock Band,2009,Teen,Musical,8.5,445,United States,Curious Pictures,2.17
Pro Evolution Soccer,2001,Not Rated,Sport,8.5,14,Japan,Konami,2.17
Supreme Commander: Forged Alliance,2007,Not Rated,Sci-Fi,8.5,85,United States,Gas Powered Games,2.17
There Is No Game: Wrong Dimension,2020,Not Rated,Comedy,8.5,66,France,Unknown,2.17
Outlast Trinity,2017,Mature,Horror,8.5,56,United States,Unknown,2.17
Are You Afraid of the Dark?: The Tale of Orpheo's Curse,1994,Not Rated,Horror,8.5,57,Canada,CINAR,2.16
428: Fûsa sareta Shibuya de,2008,Teen,Thriller,8.5,48,Japan,Chun Soft,2.16
Star Wars: The Old Republic,2011,Teen,Fantasy,8.5,3000,Canada,Bioware,2.16
Killer Bean Unleashed,2012,Everyone10+,Sci-Fi,8.5,24,United States,Killer Bean Studios,2.15
The Henry Stickmin Collection,2020,Everyone10+,Comedy,8.5,315,United States,Innersloth Productions,2.15
Astro's Playroom,2020,Everyone,Comedy,8.5,988,United States,SIE Japan Studio,2.15
Whacked!,2002,Teen,Adventure,8.5,18,United States,Presto Studios,2.14
Hitman 3,2021,Mature,Mystery,8.5,1000,Denmark,IO Interactive,2.14
Spider-Man: Miles Morales,2020,Teen,Fantasy,8.5,5000,United States,Insomniac Games,2.14
Grand Theft Auto Trilogy,2005,Mature,Drama,8.5,105,Unknown,Rockstar North,2.14
Far Cry Compilation,2013,Mature,Action,8.5,7,Unknown,Unknown,2.14
Subarashiki kono sekai,2007,Teen,Comedy,8.5,282,Japan,Jupiter,2.14
SiN: Wages of Sin,1999,Not Rated,Sci-Fi,8.5,7,United States,2015,2.13
Football Manager 2008,2007,Not Rated,Sport,8.5,170,United States,Sports Interactive,2.13
Thirstiest Time of the Year,2018,Not Rated,Horror,8.5,12,United States,Unknown,2.13
Suzumiya Haruhi no yakusoku,2007,Not Rated,Unknown,8.5,21,Japan,Unknown,2.13
Gurôransâ V: Generations,2006,Teen,Drama,8.5,31,Japan,Career Soft,2.13
Just Shapes and Beats,2018,Everyone10+,Comedy,8.5,38,Canada,Berzerk Studio,2.12
Shall We Date?: Obey Me!,2019,Not Rated,Romance,8.5,44,Japan,Unknown,2.12
Mafia II,2010,Mature,Drama,8.5,10000,Czech Republic,D3t,2.11
Andâ naito inbâsu: Ekusereito Kure,2020,Not Rated,Fantasy,8.5,8,Japan,Ecole Software,2.11
Zombie Society - Dead Detective vs Nine Deaths Cat,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,2.11
Zombie Society - Dead Detective,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,2.11
Zombie Society Dead Detective - Walls Can Bleed,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,2.11
Zombie Society: Dead Detective - Brain Drain,2017,Not Rated,Mystery,8.5,6,Italy,Armor Games,2.11
Zombie Society Dead Detective - Roving Eyes,2018,Not Rated,Mystery,8.5,6,Italy,Armor Games,2.11
Wiedzmin,2007,Mature,Drama,8.5,4000,Poland,CD Projekt RED,2.11
Knights of Honor,2004,Not Rated,Unknown,8.5,35,Bulgaria,Black Sea Films,2.11
Shin megami tensei III: Nocturne,2003,Mature,Fantasy,8.5,175,Japan,Atlus,2.1
Final fantasy tactics: Fainaru fantaji takuteikkusu - Shishi sensô,2007,Teen,Sci-Fi,8.5,188,Japan,Square Enix Company,2.1
Slaves to Armok: God of Blood Chapter II: Dwarf Fortress,2006,Not Rated,Fantasy,8.5,15,United States,Bay 12 Games,2.1
Laura's Happy Adventures,1998,Everyone,Romance,8.5,14,Canada,Playmobil Interactive,2.1
Grand Poo World 2,2019,Not Rated,Adventure,8.5,8,United States,Unknown,2.1
The King's Gold,2019,Not Rated,Adventure,8.5,8,United Kingdom,Armor Games,2.1
Jumurdzsák gyürüje,2006,Not Rated,Adventure,8.5,23,Hungary,Unknown,2.1
The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king,2006,Not Rated,Fantasy,8.5,1000,United States,Electronic Arts (EA),2.09
The Godfather: Blackhand Edition,2007,Mature,Crime,8.5,176,United States,Electronic Arts (EA),2.09
Connections,1996,Not Rated,Mystery,8.5,12,United States,SOM Interactive,2.09
Etherlords II,2003,Not Rated,Action,8.5,66,Unknown,Unknown,2.08
Uncharted: Drake's Fortune,2007,Teen,Fantasy,8.5,20000,United States,Naughty Dog,2.08
LMA Manager 2007,2006,Not Rated,Sport,8.5,36,United Kingdom,Codemasters Software Company,2.08
Metroid Prime 3: Corruption,2007,Teen,Mystery,8.5,996,Japan,Nintendo Software Planning and Development (SPD),2.08
World of Warcraft: The Burning Crusade,2007,Teen,Fantasy,8.5,2000,United States,Blizzard Entertainment,2.08
Ebaa Sebuntiin: The Out of Infinity,2002,Teen,Drama,8.5,49,Japan,Kindle Imagine Develop (KID),2.08
"Warhammer 40,000: Dawn of War - Dark Crusade",2006,Mature,Sci-Fi,8.5,431,United States,Relic Entertainment,2.08
Company of Heroes,2006,Mature,War,8.5,813,Canada,Relic Entertainment,2.08
Silent Hunter III,2005,Teen,Action,8.5,60,Romania,Ubisoft Romania,2.08
Lost Odyssey,2007,Teen,Drama,8.5,459,Japan,Mistwalker,2.08
Strategic Conquest,1990,Not Rated,Adventure,8.5,28,United States,Delta,2.08
Mail Order Monster,1985,Not Rated,Adventure,8.5,18,United States,Electronic Arts (EA),2.07
RollerCoaster Tycoon 2,2002,Everyone,Adventure,8.5,399,United Kingdom,Unknown,2.07
World Games,1986,Not Rated,Sport,8.5,54,United States,Epyx Inc.,2.07
Krakout,1987,Not Rated,Family,8.5,38,United Kingdom,Gremlin Interactive,2.07
The Bizarre Adventures of Woodruff and the Schnibble,1994,Not Rated,Unknown,8.5,35,France,Coktel Vision,2.07
Gears of War,2006,Mature,War,8.5,8000,United States,Epic Games,2.07
Hearts of Iron II,2005,Not Rated,War,8.5,90,United States,Paradox Interactive,2.06
Close Combat: A Bridge Too Far,1997,Adults Only,Adventure,8.5,32,United States,Atomic Games,2.06
Championship Manager 2000/01,2000,Not Rated,Sport,8.5,109,United Kingdom,Sports Interactive,2.06
Tiny Toon Adventures: Buster's Hidden Treasure,1993,Not Rated,Adventure,8.5,82,Japan,Konami,2.06
NCAA Football 06,2005,Everyone,Sport,8.5,63,United States,Unknown,2.06
Prince of Persia: The Two Thrones,2005,Mature,Fantasy,8.5,3000,Canada,Ubisoft Montreal,2.06
Kuraishisu koa: Fainaru fantajî VII,2007,Teen,Fantasy,8.5,1000,Japan,Square Enix Company,2.06
Supremacy,1991,Not Rated,History,8.5,32,United States,Unknown,2.06
Little Big Adventure,1994,Not Rated,Adventure,8.5,144,France,Adeline Software,2.06
Call of Duty 2,2005,Teen,War,8.5,6000,United States,Infinity Ward,2.06
Alan Wake,2010,Teen,Horror,8.5,5000,Finland,Remedy Entertainment,2.06
Turrican II: The Final Fight,1991,Not Rated,Sci-Fi,8.5,76,Germany,Factor 5,2.05
Phantom Brave,2004,Teen,Fantasy,8.5,36,Japan,Nippon Ichi Software,2.05
Claw,1997,Everyone,Comedy,8.5,203,United States,Monolith Productions,2.05
Warzone 2100,1999,Teen,Adventure,8.5,46,United Kingdom,Pumpkin Studios,2.05
Dragon Ball Z: Budokai 3,2004,Teen,Fantasy,8.5,646,Japan,FUNimation Entertainment,2.05
Ultima Online,1997,Mature,Fantasy,8.5,105,United States,Electronic Arts (EA),2.05
Poketto Monsutâ Rîfugurîn,2004,Everyone,Fantasy,8.5,920,Japan,Creatures,2.05
Jak 3,2004,Teen,Comedy,8.5,1000,United States,Naughty Dog,2.04
Robotech: Invasion,2004,Teen,Sci-Fi,8.5,50,United States,Vicious Cycle Software Inc.,2.04
Devil May Cry 3,2005,Mature,Fantasy,8.5,2000,Japan,Capcom Company,2.04
MegaRace,1994,Not Rated,Sport,8.5,57,France,Cryo Interactive Entertainment,2.04
Myst IV: Revelation,2004,Teen,Mystery,8.5,221,Canada,Ubisoft Montreal,2.04
Rogue Trip: Vacation 2012,1998,Not Rated,Action,8.5,31,United States,SingleTrac Entertainment Technologies Inc.,2.04
Hostile Waters,2001,Not Rated,Sci-Fi,8.5,48,United Kingdom,Rage Software PLC,2.04
Dark Age of Camelot,2001,Not Rated,Fantasy,8.5,44,United States,Mythic Entertainment,2.03
Zeus: Master of Olympus,2000,Not Rated,Adventure,8.5,102,United States,Sierra Entertainment,2.03
